Designator,Mid X,Mid Y,Rotation,Layer
D2_7,86.401,-90.575,180.0,top
D2_6,40.801,-32.575,180.0,top
D2_5,63.601,-3.575,180.0,top
D2_4,86.401,-76.075,180.0,top
D2_3,75.001,-90.575,180.0,top
D2_2,18.001,-18.075,180.0,top
D2,75.001,-18.075,180.0,top
J1_56,21.101,-27.5,180.0,bottom
J1_55,21.101,-85.5,180.0,bottom
J1_54,66.701,-13.0,180.0,bottom
J1_53,32.501,-71.0,180.0,bottom
J1_52,78.101,-100.0,180.0,bottom
J1_51,9.701,-27.5,180.0,bottom
J1_50,89.501,-100.0,180.0,bottom
J1_49,32.501,-85.5,180.0,bottom
J1_48,32.501,-13.0,180.0,bottom
J1_47,78.101,-71.0,180.0,bottom
J1_46,89.501,-56.5,180.0,bottom
J1_45,9.701,-56.5,180.0,bottom
J1_44,66.701,-85.5,180.0,bottom
J1_43,9.701,-42.0,180.0,bottom
J1_42,89.501,-27.5,180.0,bottom
J1_41,55.301,-85.5,180.0,bottom
J1_40,78.101,-13.0,180.0,bottom
J1_39,55.301,-71.0,180.0,bottom
J1_38,21.101,-42.0,180.0,bottom
J1_37,66.701,-71.0,180.0,bottom
J1_36,55.301,-42.0,180.0,bottom
J1_35,78.101,-42.0,180.0,bottom
J1_34,9.701,-100.0,180.0,bottom
J1_33,21.101,-100.0,180.0,bottom
J1_32,21.101,-56.5,180.0,bottom
J1_31,21.101,-71.0,180.0,bottom
J1_30,55.301,-100.0,180.0,bottom
J1_29,32.501,-42.0,180.0,bottom
J1_28,43.901,-56.5,180.0,bottom
J1_27,78.101,-27.5,180.0,bottom
J1_26,43.901,-42.0,180.0,bottom
J1_25,66.701,-100.0,180.0,bottom
J1_24,9.701,-85.5,180.0,bottom
J1_23,89.501,-85.5,180.0,bottom
J1_22,89.501,-42.0,180.0,bottom
J1_21,32.501,-56.5,180.0,bottom
J1_20,55.301,-56.5,180.0,bottom
J1_19,43.901,-100.0,180.0,bottom
J1_18,89.501,-71.0,180.0,bottom
J1_17,66.701,-56.5,180.0,bottom
J1_16,32.501,-27.5,180.0,bottom
J1_15,66.701,-42.0,180.0,bottom
J1_14,9.701,-13.0,180.0,bottom
J1_13,66.701,-27.5,180.0,bottom
J1_12,43.901,-85.5,180.0,bottom
J1_11,55.301,-13.0,180.0,bottom
J1_10,32.501,-100.0,180.0,bottom
J1_9,89.501,-13.0,180.0,bottom
J1_8,9.701,-71.0,180.0,bottom
J1_7,55.301,-27.5,180.0,bottom
J1_6,78.101,-85.5,180.0,bottom
J1_5,43.901,-27.5,180.0,bottom
J1_4,78.101,-56.5,180.0,bottom
J1_3,43.901,-71.0,180.0,bottom
J1_2,21.101,-13.0,180.0,bottom
J1,43.901,-13.0,180.0,bottom
